"teamid","yearid","w","salary_diff"
"BAL",2010,66,14510834
"CLE",2006,78,14529000
"WAS",2006,71,14561500
"COL",2008,74,14614500
"PIT",2016,78,14886334
"SFN",2002,95,15019668
"FLO",2009,87,15022500
"ATL",2008,72,15074850
"MIN",2003,90,15080000
"PHI",2009,93,15124166
"MIN",2011,63,15177834
"NYA",2015,87,15208050
"CIN",2005,73,15277333
"LAN",2006,88,15408187
"SDN",2008,63,15567049
"SFN",2010,92,15614883
"SEA",2001,116,15805834
"FLO",2007,71,15835500
"TOR",2008,86,15851100
"FLO",2001,76,15890500
"LAA",2012,89,15942000
"PHI",2002,80,16291166
"MIN",2002,94,16295000
"ARI",2013,81,16327167
"CHN",2009,83,16463167
"TEX",2002,72,16892622
"COL",2016,75,16956471
"WAS",2012,98,16998215
"SLN",2001,93,17084470
"OAK",2007,76,17123861
"HOU",2014,70,17225600
"LAA",2016,74,17245918
"CLE",2001,91,17271230
"CLE",2008,81,17296799
"ANA",2003,77,17310000
"MIL",2006,75,17633500
"ARI",2002,98,17737000
"TEX",2001,73,17837579
"PIT",2012,79,17904999
"WAS",2008,59,18013500
"FLO",2005,83,18265792
"WAS",2014,96,18280410
"SEA",2007,88,18501000
"SEA",2014,87,18526057
"NYA",2008,89,18637744
"CHN",2008,97,18675501
"BAL",2014,96,19022667
"KCA",2013,86,19175500
"KCA",2016,81,19380100
"DET",2015,74,19429250
"TBA",2009,84,19492437
"SFN",2011,86,19557000
"TBA",2008,97,19697097
"TBA",2014,77,19733828
"KCA",2007,69,19822500
"NYA",2001,95,19948883
"ARI",2012,81,20165000
"FLO",2010,80,20195719
"BAL",2007,69,20589226
"COL",2014,66,20994429
"LAN",2001,86,21181667
"ANA",2004,92,21503000
"PHI",2004,86,22139167
"NYN",2003,66,22242836
"CHA",2011,79,22259000
"DET",2005,71,22260000
"BAL",2005,74,22291000
"SFN",2013,76,22559651
"NYN",2008,89,22561713
"DET",2016,86,22591731
"HOU",2016,84,22637500
"BOS",2007,96,22926390
"TBA",2012,90,23119929
"CHA",2013,63,23145777
"SFN",2014,88,23329833
"WAS",2015,83,23603792
"SLN",2016,86,23812000
"MIN",2015,83,23992500
"NYA",2005,95,24112867
"CIN",2013,90,24200846
"MIL",2014,82,24269967
"KCA",2012,72,25204225
"ARI",2016,69,25605063
"TOR",2006,87,25645500
"TOR",2016,89,25709300
"MIA",2015,71,26219600
"DET",2012,88,26599769
"NYA",2003,101,26821231
"BOS",2004,98,27352000
"CHA",2006,90,27572667
"TEX",2012,93,28211710
"SLN",2014,90,28432890
"PIT",2001,62,28832499
"PHI",2010,97,28924333
"CLE",2012,68,29653734
"SEA",2015,76,29677600
"CHA",2015,76,30543200
"PHI",2011,102,31048000
"NYA",2004,101,31444136
"TEX",2015,88,31487730
"TOR",2001,80,32057667
"BOS",2001,82,32095500
"MIN",2010,94,32259900
"TEX",2016,95,32295934
"WAS",2013,86,32848127
"LAA",2011,86,33579300
"CHA",2001,83,34520167
"NYA",2013,85,35456597
"NYN",2014,79,36108644
"TEX",2011,96,37048720
"NYN",2016,87,37122446
"HOU",2015,86,37139900
"KCA",2015,95,37512950
"CHN",2016,103,38188358
"BOS",2010,89,41101334
"BOS",2015,78,42083471
"SDN",2015,74,42755600
"DET",2008,74,42884827
"BAL",2016,89,46818623
"CHN",2015,97,50356810
"TOR",2013,74,51278900
"LAN",2013,92,128218621
"MIA",2012,69,NULL
"BOS",2000,85,NULL
"SEA",2000,91,NULL
"TOR",2000,83,NULL
"CHN",2000,65,NULL
"LAN",2000,86,NULL
"SDN",2000,76,NULL
"MON",2000,67,NULL
"LAA",2005,95,NULL
"NYA",2000,87,NULL
"BAL",2000,74,NULL
"CIN",2000,85,NULL
"ATL",2000,95,NULL
"KCA",2000,77,NULL
"TBA",2000,69,NULL
"NYN",2000,94,NULL
"CLE",2000,90,NULL
"WAS",2005,81,NULL
"ANA",2000,82,NULL
"SFN",2000,97,NULL
"PIT",2000,69,NULL
"ARI",2000,85,NULL
"HOU",2000,72,NULL
"COL",2000,82,NULL
"OAK",2000,91,NULL
"FLO",2000,79,NULL
"PHI",2000,65,NULL
"SLN",2000,95,NULL
"MIN",2000,69,NULL
"DET",2000,79,NULL
"CHA",2000,95,NULL
"MIL",2000,73,NULL
"TEX",2000,71,NULL
